ID-datalake,nct_id,brief_title,phase,phase_int,phase_numeric,trial_type,recruitment_status,start_date,completion_date,primary_completion_date,start_year,trial_duration_days,enrollment,enrollment_type,flag_date_inconsistency,flag_missing_enrollment_type,flag_estimated_enrollment_on_completed,indications,primary_indication,broad_category,interventions_drugs_clean,intervention_categories,has_drug,main_technologies,primary_technology,target_abbreviations,primary_target,drugs_datalake
49104,NCT05304754,"""Phase I / II Study on Infusion of Natural Killer Cells After Haploidentical Transplantation in Pediatric Patients""",PHASE1/PHASE2,1.5,2.0,standard,ACTIVE_NOT_RECRUITING,2020-11-30,2026-07-31,2026-06-30,2020.0,2069.0,18.0,ESTIMATED,False,False,False,['High-risk Leukemias'],High-risk Leukemias,Other Cancer,"['Interleukin-15', 'NK cells stimulated ex vivo with IL-15', 'Alloreactive NK cells - Instituto de InvestigaciÃ³n Hospital Universitario La Paz']","['drug', 'drug', 'drug']",True,"[['Other Protein Therapy'], [], ['Cell Therapy']]",Other Protein Therapy,"[[], [], []]",Unknown,"['B3878', 'B12054', 'B11992']"
43600,NCT04532281,A Study of Murine CD19 CAR-T Therapy for Patients With Relapsed or Refractory CD19+ B-cell Hematological Malignancies,EARLY_PHASE1,0.5,1.0,standard,RECRUITING,2020-11-01,2026-11-01,2023-11-01,2020.0,2191.0,120.0,ESTIMATED,False,False,False,"['Acute Lymphoblastic Leukemia', 'Non-Hodgkin Lymphoma']",Acute Lymphoblastic Leukemia,Leukemia,['Anti-CD19 CAR T Cells Preparation'],['drug'],True,[],Unknown,[],Unknown,[]
44064,NCT04602689,Fibrin Glue After ESD for High Risk Patients of Bleeding,,,,non_standard,COMPLETED,2020-10-30,2022-07-14,2022-07-14,2020.0,622.0,134.0,ACTUAL,False,False,False,"['Gastric Cancer', 'Digestive System Neoplasm']",Gastric Cancer,Gastric Cancer,"['Fibrinogen Human', 'Aprotinin', 'Thrombin', 'Calcium Chloride']","['drug', 'drug', 'drug', 'drug']",True,[['Small Molecule']],Small Molecule,"[['Trypsin', 'Protease']]",Trypsin,['B177']
43362,NCT04501094,A Phase II Study of Bintrafusp Alfa (M7824) in Checkpoint Inhibitor Naive and Refractory Subjects With Urothelial Carcinoma,PHASE2,2.0,2.0,standard,TERMINATED,2020-10-26,2021-10-13,2021-01-19,2020.0,352.0,2.0,ACTUAL,False,False,False,['Urothelial Carcinoma'],Urothelial Carcinoma,Bladder Cancer,['Bintrafusp alfa'],['drug'],True,[['Engineered Protein Therapy']],Engineered Protein Therapy,"[['PDL1', 'TGF-Î²']]",PDL1,['B1389']
41605,NCT04225676,Study of Efficacy and Safety of Reinfusion of Tisagenlecleucel in Pediatric and Young Adult Patients With Acute Lymphoblastic Leukemia (ALL),PHASE2,2.0,2.0,standard,TERMINATED,2020-10-19,2021-10-19,2021-10-19,2020.0,365.0,5.0,ACTUAL,False,False,False,['Acute Lymphoblastic Leukemia'],Acute Lymphoblastic Leukemia,Leukemia,['Tisagenlecleucel'],['drug'],True,[['Chimeric Antigen Receptor T-Cell Therapy (CAR-T)']],Chimeric Antigen Receptor T-Cell Therapy (CAR-T),[['CD19']],CD19,['B971']
44151,NCT04614636,FT538 in Subjects With Advanced Hematologic Malignancies,PHASE1,1.0,1.0,standard,TERMINATED,2020-10-17,2023-08-08,2023-07-13,2020.0,1025.0,42.0,ACTUAL,False,False,False,"['Acute Myeloid Leukemia', 'Acute Myeloid Leukemia', 'Multiple Myeloma', 'Multiple Myeloma']",Acute Myeloid Leukemia,Leukemia,"['FT538', 'Cyclophosphamide', 'Fludarabine', 'Daratumumab', 'Elotuzumab']","['drug', 'drug', 'drug', 'drug', 'drug']",True,"[['Cell Therapy'], ['Small Molecule'], ['Small Molecule'], ['Antibody'], ['Antibody']]",Cell Therapy,"[['CD16a'], ['DNA'], ['DNA polymerase III', 'RNR', 'RNA polymerase II'], ['CD38'], ['SLAMF7']]",CD16a,"['B5013', 'B2818', 'B346', 'B415', 'B418']"
44079,NCT04604132,"Derazantinib Alone or in Combination With Paclitaxel, Ramucirumab or Atezolizumab in Gastric Adenocarcinoma",PHASE1/PHASE2,1.5,2.0,standard,TERMINATED,2020-10-06,2022-11-21,2022-11-21,2020.0,776.0,47.0,ACTUAL,False,False,False,['Gastric Cancer'],Gastric Cancer,Gastric Cancer,"['Derazantinib', 'Paclitaxel', 'Ramucirumab']","['drug', 'drug', 'drug']",True,"[['Small Molecule'], ['Small Molecule'], ['Antibody']]",Small Molecule,"[['FGFR1', 'FGFR2', 'FGFR3'], ['TUBB1'], ['VEGFR2']]",FGFR1,"['B1257', 'B1250', 'B449']"
44004,NCT04592653,Less Frequent IV Dosing & Tumor Microenvironment (TME) Study of Nemvaleukin Alfa (ALKS 4230) Monotherapy and in Combination With Pembrolizumab (ARTISTRY-3),PHASE1/PHASE2,1.5,2.0,standard,ACTIVE_NOT_RECRUITING,2020-09-30,2024-12-31,2024-07-31,2020.0,1553.0,78.0,ESTIMATED,False,False,False,['Solid Tumors'],Solid Tumors,Unspecified,"['Nemvaleukin-alfa', 'Pembrolizumab']","['drug', 'drug']",True,"[['Other Protein Therapy'], ['Antibody']]",Other Protein Therapy,"[['IL-2R'], ['PD-1']]",IL-2R,"['B2688', 'B936']"
43944,NCT04584008,Targeted Agent Evaluation in Digestive Cancers in China Based on Molecular Characteristics,,,,non_standard,ACTIVE_NOT_RECRUITING,2020-09-23,2025-03-31,2024-11-30,2020.0,1650.0,600.0,ACTUAL,False,False,False,"['Biliary Tract Cancer', 'Gastric Cancer', 'Esophageal Cancer', 'Colorectal Cancer', 'Gastrointestinal Stromal Tumor', 'Pancreatic Cancer', 'Neuroendocrine Tumors', 'Carcinoma of Unknown Primary', 'Digestive System Neoplasm']",Biliary Tract Cancer,Liver Cancer,[],[],False,[],Unknown,[],Unknown,[]
43744,NCT04552769,Abemaciclib in Metastatic or Locally Advanced Anaplastic/Undifferentiated Thyroid Cancer,PHASE2,2.0,2.0,standard,ACTIVE_NOT_RECRUITING,2020-09-10,2024-12-31,2023-04-12,2020.0,1573.0,9.0,ACTUAL,False,False,False,"['Thyroid Cancer', 'Thyroid Gland Anaplastic Carcinoma', 'Thyroid Gland Anaplastic Carcinoma']",Thyroid Cancer,Thyroid Cancer,['Abemaciclib'],['drug'],True,[['Small Molecule']],Small Molecule,"[['CDK4', 'CDK6']]",CDK4,['B980']
